,strain,pool
598,leaf_11755,test
599,leaf_21813,test
600,leaf_6236,test
601,leaf_16905,test
602,leaf_17443,test
603,leaf_3882,test
604,leaf_15627,test
605,leaf_10469,test
606,leaf_7627,test
607,leaf_13727,test
608,leaf_19132,test
609,leaf_18969,test
610,leaf_10032,test
611,leaf_20792,test
612,leaf_1281,test
613,leaf_4652,test
614,leaf_126,test
615,leaf_21590,test
616,leaf_4781,test
617,leaf_22974,test
618,leaf_22474,test
619,leaf_16164,test
620,leaf_3579,test
621,leaf_14662,test
622,leaf_12863,test
623,leaf_10229,test
624,leaf_8813,test
625,leaf_2854,test
626,leaf_8696,test
627,leaf_14445,test
628,leaf_4867,test
629,leaf_2337,test
630,leaf_14999,test
631,leaf_9876,test
632,leaf_14573,test
633,leaf_18927,test
634,leaf_4851,test
635,leaf_6316,test
636,leaf_21368,test
637,leaf_12069,test
638,leaf_14319,test
639,leaf_3965,test
640,leaf_20283,test
641,leaf_9147,test
642,leaf_3700,test
643,leaf_766,test
644,leaf_10360,test
645,leaf_14995,test
646,leaf_14836,test
647,leaf_14402,test
648,leaf_12561,test
649,leaf_21401,test
650,leaf_20513,test
651,leaf_9799,test
652,leaf_14644,test
653,leaf_7251,test
654,leaf_12159,test
655,leaf_9521,test
656,leaf_6771,test
657,leaf_20547,test
658,leaf_3539,test
659,leaf_21161,test
660,leaf_21818,test
661,leaf_20670,test
662,leaf_21501,test
663,leaf_3161,test
664,leaf_7960,test
665,leaf_4739,test
666,leaf_9801,test
667,leaf_5183,test
668,leaf_9346,test
669,leaf_19224,test
670,leaf_21388,test
671,leaf_20602,test
672,leaf_22922,test
673,leaf_22194,test
674,leaf_3487,test
675,leaf_20754,test
676,leaf_4707,test
677,leaf_581,test
678,leaf_15094,test
679,leaf_10606,test
680,leaf_12256,test
681,leaf_3604,test
682,leaf_11740,test
683,leaf_3055,test
684,leaf_18240,test
685,leaf_9379,test
686,leaf_7085,test
687,leaf_734,test
688,leaf_3854,test
689,leaf_5671,test
690,leaf_17280,test
691,leaf_14134,test
692,leaf_3164,test
693,leaf_9314,test
694,leaf_14330,test
695,leaf_9515,test
696,leaf_18172,test
697,leaf_16638,test
698,leaf_14902,test
699,leaf_508,test
700,leaf_11316,test
701,leaf_17524,test
702,leaf_6792,test
703,leaf_3891,test
704,leaf_19153,test
705,leaf_16888,test
706,leaf_1477,test
707,leaf_15173,test
708,leaf_9116,test
709,leaf_17528,test
710,leaf_5608,test
711,leaf_10050,test
712,leaf_10593,test
713,leaf_4148,test
714,leaf_419,test
715,leaf_8736,test
716,leaf_21653,test
717,leaf_2304,test
718,leaf_17884,test
719,leaf_20958,test
720,leaf_13338,test
721,leaf_11550,test
722,leaf_17200,test
723,leaf_1999,test
724,leaf_21729,test
725,leaf_18602,test
726,leaf_14883,test
727,leaf_13150,test
728,leaf_3515,test
729,leaf_16682,test
730,leaf_6713,test
731,leaf_10613,test
732,leaf_8767,test
733,leaf_818,test
734,leaf_21880,test
735,leaf_18432,test
736,leaf_3015,test
737,leaf_16466,test
738,leaf_17704,test
739,leaf_16486,test
740,leaf_14088,test
741,leaf_20414,test
742,leaf_21115,test
743,leaf_22870,test
744,leaf_16438,test
745,leaf_273,test
746,leaf_19366,test
747,leaf_4064,test
748,leaf_13271,test
749,leaf_16079,test
750,leaf_17615,test
751,leaf_13866,test
752,leaf_8733,test
753,leaf_23019,test
754,leaf_19581,test
755,leaf_22293,test
756,leaf_12076,test
757,leaf_17126,test
758,leaf_9824,test
759,leaf_5681,test
760,leaf_8167,test
761,leaf_7631,test
762,leaf_20367,test
763,leaf_10312,test
764,leaf_20394,test
765,leaf_10920,test
766,leaf_6011,test
767,leaf_18540,test
768,leaf_16920,test
769,leaf_6912,test
770,leaf_8838,test
771,leaf_16409,test
772,leaf_2605,test
773,leaf_6362,test
774,leaf_218,test
775,leaf_19651,test
776,leaf_21138,test
777,leaf_18264,test
778,leaf_1228,test
779,leaf_9443,test
780,leaf_5271,test
781,leaf_11454,test
782,leaf_7105,test
783,leaf_14973,test
784,leaf_3599,test
785,leaf_6800,test
786,leaf_19239,test
787,leaf_16036,test
788,leaf_16193,test
789,leaf_21384,test
790,leaf_13617,test
791,leaf_9818,test
792,leaf_21788,test
793,leaf_19685,test
794,leaf_5022,test
795,leaf_918,test
796,leaf_19643,test
797,leaf_13778,test
798,leaf_8538,test
799,leaf_6352,test
800,leaf_13055,test
801,leaf_4203,test
802,leaf_16136,test
803,leaf_13241,test
804,leaf_5829,test
805,leaf_5417,test
806,leaf_11403,test
807,leaf_5241,test
808,leaf_2023,test
809,leaf_18372,test
810,leaf_13693,test
811,leaf_10961,test
812,leaf_20923,test
813,leaf_21366,test
814,leaf_6586,test
815,leaf_8006,test
816,leaf_6826,test
817,leaf_11771,test
818,leaf_10368,test
819,leaf_7821,test
820,leaf_9255,test
821,leaf_12046,test
822,leaf_15200,test
823,leaf_1451,test
824,leaf_19911,test
825,leaf_5017,test
826,leaf_15106,test
827,leaf_22582,test
828,leaf_18105,test
829,leaf_2163,test
830,leaf_137,test
831,leaf_11035,test
832,leaf_19131,test
833,leaf_15393,test
834,leaf_9857,test
835,leaf_5587,test
836,leaf_1433,test
837,leaf_5349,test
838,leaf_20,test
839,leaf_21073,test
840,leaf_2227,test
841,leaf_1573,test
842,leaf_17842,test
843,leaf_14832,test
844,leaf_171,test
845,leaf_5048,test
846,leaf_17808,test
847,leaf_44,test
848,leaf_9511,test
849,leaf_12145,test
850,leaf_14689,test
851,leaf_10321,test
852,leaf_8606,test
853,leaf_11914,test
854,leaf_3802,test
855,leaf_6251,test
856,leaf_3118,test
857,leaf_17795,test
858,leaf_4128,test
859,leaf_7174,test
860,leaf_20120,test
861,leaf_8654,test
862,leaf_17181,test
863,leaf_9684,test
864,leaf_17761,test
865,leaf_1274,test
866,leaf_51,test
867,leaf_1233,test
868,leaf_5074,test
869,leaf_18135,test
870,leaf_20814,test
871,leaf_18761,test
872,leaf_19447,test
873,leaf_1106,test
874,leaf_21416,test
875,leaf_1199,test
876,leaf_1525,test
877,leaf_11553,test
878,leaf_16600,test
879,leaf_7872,test
880,leaf_1782,test
881,leaf_13043,test
882,leaf_8834,test
883,leaf_20050,test
884,leaf_19268,test
885,leaf_515,test
886,leaf_18239,test
887,leaf_14196,test
888,leaf_20024,test
889,leaf_12086,test
890,leaf_10101,test
891,leaf_13867,test
892,leaf_15659,test
893,leaf_2458,test
894,leaf_20870,test
895,leaf_8699,test
896,leaf_22580,test
897,leaf_12543,test
898,leaf_15957,test
899,leaf_7651,test
900,leaf_4162,test
901,leaf_13718,test
902,leaf_283,test
903,leaf_11595,test
904,leaf_15653,test
905,leaf_10939,test
906,leaf_8108,test
907,leaf_12929,test
908,leaf_17487,test
909,leaf_14781,test
910,leaf_12408,test
911,leaf_13294,test
912,leaf_5538,test
913,leaf_18342,test
914,leaf_16828,test
915,leaf_12424,test
916,leaf_19574,test
917,leaf_16792,test
918,leaf_4978,test
919,leaf_18396,test
920,leaf_5452,test
921,leaf_658,test
922,leaf_14544,test
923,leaf_6891,test
924,leaf_4220,test
925,leaf_2777,test
926,leaf_14105,test
927,leaf_3012,test
928,leaf_2691,test
929,leaf_22214,test
930,leaf_4181,test
931,leaf_18374,test
932,leaf_8422,test
933,leaf_5325,test
934,leaf_3143,test
935,leaf_11928,test
936,leaf_5446,test
937,leaf_16945,test
938,leaf_23081,test
939,leaf_3762,test
940,leaf_10380,test
941,leaf_19249,test
942,leaf_14955,test
943,leaf_10826,test
944,leaf_6686,test
945,leaf_19088,test
946,leaf_1045,test
947,leaf_18381,test
948,leaf_22243,test
949,leaf_1136,test
950,leaf_21229,test
951,leaf_10425,test
952,leaf_1798,test
953,leaf_11298,test
954,leaf_4822,test
955,leaf_1838,test
956,leaf_22395,test
957,leaf_10808,test
958,leaf_18087,test
959,leaf_9610,test
960,leaf_2077,test
961,leaf_15081,test
962,leaf_9670,test
963,leaf_7072,test
964,leaf_18699,test
965,leaf_22860,test
966,leaf_14740,test
967,leaf_12581,test
968,leaf_4926,test
969,leaf_18097,test
970,leaf_16393,test
971,leaf_8223,test
972,leaf_8674,test
973,leaf_21879,test
974,leaf_22451,test
975,leaf_3942,test
976,leaf_5033,test
977,leaf_13908,test
978,leaf_944,test
979,leaf_6784,test
980,leaf_15490,test
981,leaf_20063,test
982,leaf_20838,test
983,leaf_21922,test
984,leaf_1068,test
985,leaf_18646,test
986,leaf_13856,test
987,leaf_7785,test
988,leaf_13489,test
989,leaf_2746,test
990,leaf_8364,test
991,leaf_13681,test
992,leaf_10504,test
993,leaf_10289,test
994,leaf_8724,test
995,leaf_8660,test
996,leaf_20452,test
997,leaf_11847,test
998,leaf_7314,test
999,leaf_5537,test
1000,leaf_16399,test
1001,leaf_6965,test
1002,leaf_19664,test
1003,leaf_13706,test
1004,leaf_20211,test
1005,leaf_19141,test
1006,leaf_12535,test
1007,leaf_11401,test
1008,leaf_13631,test
1009,leaf_3087,test
1010,leaf_333,test
1011,leaf_20918,test
1012,leaf_3392,test
1013,leaf_6402,test
1014,leaf_11232,test
1015,leaf_16124,test
1016,leaf_16371,test
1017,leaf_7426,test
1018,leaf_20804,test
1019,leaf_12370,test
1020,leaf_6102,test
1021,leaf_5353,test
1022,leaf_19394,test
1023,leaf_10878,test
1024,leaf_7022,test
1025,leaf_17338,test
1026,leaf_2150,test
1027,leaf_4103,test
1028,leaf_13302,test
1029,leaf_2366,test
1030,leaf_21619,test
1031,leaf_6199,test
1032,leaf_6729,test
1033,leaf_22500,test
1034,leaf_18828,test
1035,leaf_20824,test
1036,leaf_17292,test
1037,leaf_6045,test
1038,leaf_21006,test
1039,leaf_7180,test
1040,leaf_19925,test
1041,leaf_2148,test
1042,leaf_22197,test
1043,leaf_10892,test
1044,leaf_18340,test
1045,leaf_22280,test
1046,leaf_15402,test
1047,leaf_7661,test
1048,leaf_3833,test
1049,leaf_21945,test
1050,leaf_22810,test
1051,leaf_10615,test
1052,leaf_3848,test
1053,leaf_3275,test
1054,leaf_15791,test
1055,leaf_8287,test
1056,leaf_16786,test
1057,leaf_12318,test
1058,leaf_4560,test
1059,leaf_14377,test
1060,leaf_20821,test
1061,leaf_14773,test
1062,leaf_19116,test
1063,leaf_19359,test
1064,leaf_14913,test
1065,leaf_17454,test
1066,leaf_2486,test
1067,leaf_10244,test
1068,leaf_13653,test
1069,leaf_16102,test
1070,leaf_16834,test
1071,leaf_10123,test
1072,leaf_3215,test
1073,leaf_22460,test
1074,leaf_11976,test
1075,leaf_17497,test
1076,leaf_464,test
1077,leaf_2608,test
1078,leaf_12622,test
1079,leaf_934,test
1080,leaf_16866,test
1081,leaf_7078,test
1082,leaf_6470,test
1083,leaf_4088,test
1084,leaf_8455,test
1085,leaf_17921,test
1086,leaf_15833,test
1087,leaf_1837,test
1088,leaf_10805,test
1089,leaf_13748,test
1090,leaf_3930,test
1091,leaf_21204,test
1092,leaf_15732,test
1093,leaf_22091,test
1094,leaf_13447,test
1095,leaf_22220,test
1096,leaf_14556,test
1097,leaf_12526,test
1098,leaf_14634,test
1099,leaf_16065,test
1100,leaf_3137,test
1101,leaf_2861,test
1102,leaf_9134,test
1103,leaf_8046,test
1104,leaf_21586,test
1105,leaf_22738,test
1106,leaf_11103,test
1107,leaf_11237,test
1108,leaf_16185,test
1109,leaf_10918,test
1110,leaf_16911,test
1111,leaf_8149,test
1112,leaf_2615,test
1113,leaf_3623,test
1114,leaf_5194,test
1115,leaf_997,test
1116,leaf_12741,test
1117,leaf_18709,test
1118,leaf_9781,test
1119,leaf_6981,test
1120,leaf_8684,test
1121,leaf_14965,test
1122,leaf_13039,test
1123,leaf_13413,test
1124,leaf_8806,test
1125,leaf_13965,test
1126,leaf_13543,test
1127,leaf_18043,test
1128,leaf_15167,test
1129,leaf_23048,test
1130,leaf_4875,test
1131,leaf_19951,test
1132,leaf_18897,test
1133,leaf_1282,test
1134,leaf_14798,test
1135,leaf_16029,test
1136,leaf_14306,test
1137,leaf_1910,test
1138,leaf_1146,test
1139,leaf_15385,test
1140,leaf_4000,test
1141,leaf_15865,test
1142,leaf_13517,test
1143,leaf_16092,test
1144,leaf_21799,test
1145,leaf_21568,test
1146,leaf_14643,test
1147,leaf_13163,test
1148,leaf_10479,test
1149,leaf_19834,test
1150,leaf_12573,test
1151,leaf_6694,test
1152,leaf_22536,test
1153,leaf_14523,test
1154,leaf_13205,test
1155,leaf_4612,test
1156,leaf_8146,test
1157,leaf_20994,test
1158,leaf_4143,test
1159,leaf_16178,test
1160,leaf_19744,test
1161,leaf_9594,test
1162,leaf_2736,test
1163,leaf_10083,test
1164,leaf_2791,test
1165,leaf_20909,test
1166,leaf_7241,test
1167,leaf_14723,test
1168,leaf_2044,test
1169,leaf_1372,test
1170,leaf_5929,test
1171,leaf_19325,test
1172,leaf_6190,test
1173,leaf_21549,test
1174,leaf_11395,test
1175,leaf_2333,test
1176,leaf_19340,test
1177,leaf_8498,test
1178,leaf_18434,test
1179,leaf_22153,test
1180,leaf_22656,test
1181,leaf_19987,test
1182,leaf_21929,test
1183,leaf_6073,test
1184,leaf_21960,test
1185,leaf_16198,test
1186,leaf_18811,test
1187,leaf_20318,test
1188,leaf_15024,test
1189,leaf_5607,test
1190,leaf_5385,test
1191,leaf_3029,test
1192,leaf_10672,test
1193,leaf_1453,test
1194,leaf_17642,test
1195,leaf_2255,test
1196,leaf_21238,test
1197,leaf_9446,test
1198,leaf_13676,test
1199,leaf_11499,test
1200,leaf_15259,test
1201,leaf_18995,test
1202,leaf_6501,test
1203,leaf_19143,test
1204,leaf_7791,test
1205,leaf_22400,test
1206,leaf_14127,test
1207,leaf_800,test
1208,leaf_6682,test
1209,leaf_15991,test
1210,leaf_22613,test
1211,leaf_18810,test
1212,leaf_1291,test
1213,leaf_21835,test
1214,leaf_1060,test
1215,leaf_19749,test
1216,leaf_14719,test
1217,leaf_21226,test
1218,leaf_17042,test
1219,leaf_15544,test
1220,leaf_3003,test
1221,leaf_15320,test
1222,leaf_2173,test
1223,leaf_13882,test
1224,leaf_20345,test
1225,leaf_1906,test
1226,leaf_23023,test
1227,leaf_18332,test
1228,leaf_13362,test
1229,leaf_16529,test
1230,leaf_19197,test
1231,leaf_22585,test
1232,leaf_15590,test
1233,leaf_1355,test
1234,leaf_2001,test
1235,leaf_1871,test
1236,leaf_12012,test
1237,leaf_15269,test
1238,leaf_10077,test
1239,leaf_21822,test
1240,leaf_8202,test
1241,leaf_7664,test
1242,leaf_22724,test
1243,leaf_11569,test
1244,leaf_3829,test
1245,leaf_19811,test
1246,leaf_21570,test
1247,leaf_12259,test
1248,leaf_10428,test
1249,leaf_21183,test
1250,leaf_4569,test
1251,leaf_7822,test
