strain	true_subgroup	date	type	subgroup
leaf_194	C	2022-08-07	Train	C
leaf_195	B	2022-08-07	Train	B
leaf_196	A	2022-08-07	Test	?
leaf_197	B	2022-08-07	Train	B
leaf_198	A	2022-08-07	Train	A
leaf_199	A	2022-08-07	Train	A
leaf_200	C	2022-08-07	Train	C
leaf_201	C	2022-08-07	Train	C
leaf_202	B	2022-08-07	Train	B
leaf_203	B	2022-08-07	Train	B
leaf_204	A	2022-08-06	Test	?
leaf_205	B	2022-08-06	Train	B
leaf_206	B	2022-08-06	Test	?
leaf_207	B	2022-08-06	Train	B
leaf_208	B	2022-08-06	Train	B
leaf_209	C	2022-08-06	Train	C
leaf_210	A	2022-08-06	Test	?
leaf_211	B	2022-08-06	Train	B
leaf_212	B	2022-08-06	Train	B
leaf_213	A	2022-08-06	Train	A
leaf_214	C	2022-08-06	Train	C
leaf_215	A	2022-08-05	Train	A
leaf_216	B	2022-08-05	Train	B
leaf_217	B	2022-08-05	Train	B
leaf_218	B	2022-08-05	Train	B
leaf_219	C	2022-08-05	Train	C
leaf_220	A	2022-08-05	Train	A
leaf_221	C	2022-08-05	Test	?
leaf_222	C	2022-08-05	Train	C
leaf_223	B	2022-08-05	Train	B
leaf_224	A	2022-08-05	Train	A
leaf_225	C	2022-08-05	Train	C
leaf_226	B	2022-08-05	Train	B
leaf_227	B	2022-08-05	Train	B
leaf_228	A	2022-08-05	Train	A
leaf_229	B	2022-08-04	Train	B
leaf_230	A	2022-08-04	Test	?
leaf_231	C	2022-08-04	Train	C
leaf_232	A	2022-08-04	Train	A
leaf_233	A	2022-08-04	Train	A
leaf_234	B	2022-08-04	Train	B
leaf_235	A	2022-08-04	Train	A
leaf_236	B	2022-08-04	Train	B
leaf_237	A	2022-08-04	Train	A
leaf_238	B	2022-08-03	Train	B
leaf_239	B	2022-08-03	Train	B
leaf_240	A	2022-08-03	Train	A
leaf_241	B	2022-08-03	Train	B
leaf_242	A	2022-08-03	Train	A
leaf_243	B	2022-08-03	Train	B
leaf_244	C	2022-08-03	Train	C
leaf_245	C	2022-08-03	Train	C
leaf_246	A	2022-08-03	Test	?
leaf_247	B	2022-08-03	Train	B
leaf_248	C	2022-08-03	Test	?
leaf_249	C	2022-08-03	Train	C
leaf_250	B	2022-08-03	Test	?
leaf_251	B	2022-08-03	Train	B
leaf_252	C	2022-08-03	Train	C
leaf_253	B	2022-08-02	Test	?
leaf_254	C	2022-08-02	Train	C
leaf_255	A	2022-08-02	Train	A
leaf_256	B	2022-08-02	Train	B
leaf_257	A	2022-08-02	Train	A
leaf_258	B	2022-08-02	Train	B
leaf_259	A	2022-08-02	Train	A
leaf_260	B	2022-08-02	Train	B
leaf_261	C	2022-08-02	Train	C
leaf_262	C	2022-08-02	Train	C
leaf_263	B	2022-08-02	Train	B
leaf_264	B	2022-08-02	Train	B
leaf_265	C	2022-08-02	Train	C
leaf_266	C	2022-08-02	Train	C
leaf_267	B	2022-08-01	Train	B
leaf_268	B	2022-08-01	Train	B
leaf_269	A	2022-08-01	Test	?
leaf_270	B	2022-08-01	Train	B
leaf_271	C	2022-08-01	Train	C
leaf_272	B	2022-08-01	Train	B
leaf_273	B	2022-08-01	Train	B
leaf_274	B	2022-08-01	Train	B
leaf_275	B	2022-08-01	Train	B
leaf_276	B	2022-07-31	Train	B
leaf_277	C	2022-07-31	Train	C
leaf_278	C	2022-07-31	Train	C
leaf_279	C	2022-07-31	Train	C
leaf_280	B	2022-07-31	Train	B
leaf_281	C	2022-07-31	Test	?
leaf_282	A	2022-07-31	Test	?
leaf_283	A	2022-07-31	Train	A
leaf_284	B	2022-07-31	Train	B
leaf_285	C	2022-07-31	Train	C
leaf_286	C	2022-07-31	Train	C
leaf_287	B	2022-07-30	Train	B
leaf_288	C	2022-07-30	Train	C
leaf_289	B	2022-07-30	Train	B
leaf_290	B	2022-07-30	Train	B
leaf_291	A	2022-07-30	Train	A
leaf_292	A	2022-07-30	Train	A
leaf_293	C	2022-07-30	Train	C
leaf_294	B	2022-07-30	Train	B
leaf_295	B	2022-07-30	Train	B
leaf_296	C	2022-07-30	Test	?
leaf_297	B	2022-07-29	Train	B
leaf_298	A	2022-07-29	Train	A
leaf_299	C	2022-07-29	Train	C
leaf_300	C	2022-07-29	Train	C
leaf_301	C	2022-07-29	Train	C
leaf_302	C	2022-07-29	Train	C
leaf_303	B	2022-07-29	Train	B
leaf_304	A	2022-07-29	Test	?
leaf_305	B	2022-07-29	Train	B
leaf_306	A	2022-07-29	Train	A
leaf_307	B	2022-07-29	Train	B
leaf_308	A	2022-07-29	Train	A
leaf_309	A	2022-07-29	Train	A
leaf_310	A	2022-07-28	Test	?
leaf_311	B	2022-07-28	Train	B
leaf_312	C	2022-07-28	Train	C
leaf_313	B	2022-07-28	Test	?
leaf_314	C	2022-07-28	Train	C
leaf_315	A	2022-07-28	Test	?
leaf_316	B	2022-07-28	Train	B
leaf_317	A	2022-07-28	Train	A
leaf_318	B	2022-07-28	Train	B
leaf_319	C	2022-07-28	Train	C
leaf_320	B	2022-07-28	Train	B
leaf_321	B	2022-07-28	Test	?
leaf_322	A	2022-07-28	Test	?
leaf_323	B	2022-07-27	Train	B
leaf_324	C	2022-07-27	Train	C
leaf_325	A	2022-07-27	Test	?
leaf_326	B	2022-07-27	Train	B
leaf_327	B	2022-07-27	Test	?
leaf_328	B	2022-07-27	Train	B
leaf_329	B	2022-07-27	Train	B
leaf_330	C	2022-07-27	Train	C
leaf_331	B	2022-07-27	Train	B
leaf_332	B	2022-07-27	Train	B
leaf_333	A	2022-07-27	Train	A
leaf_334	C	2022-07-27	Test	?
leaf_335	B	2022-07-27	Train	B
leaf_336	B	2022-07-27	Train	B
leaf_337	B	2022-07-27	Train	B
leaf_338	A	2022-07-26	Train	A
leaf_339	B	2022-07-26	Train	B
leaf_340	B	2022-07-26	Train	B
leaf_341	A	2022-07-26	Train	A
leaf_342	B	2022-07-26	Train	B
leaf_343	C	2022-07-26	Train	C
leaf_344	A	2022-07-26	Train	A
leaf_345	B	2022-07-26	Train	B
leaf_346	B	2022-07-26	Train	B
leaf_347	B	2022-07-26	Test	?
leaf_348	A	2022-07-26	Train	A
leaf_349	C	2022-07-26	Train	C
leaf_350	C	2022-07-25	Train	C
leaf_351	B	2022-07-25	Test	?
leaf_352	B	2022-07-25	Train	B
leaf_353	B	2022-07-25	Train	B
leaf_354	A	2022-07-25	Train	A
leaf_355	B	2022-07-25	Train	B
leaf_356	B	2022-07-25	Train	B
leaf_357	B	2022-07-25	Train	B
leaf_358	C	2022-07-25	Train	C
leaf_359	C	2022-07-25	Train	C
leaf_360	B	2022-07-25	Train	B
leaf_361	C	2022-07-25	Train	C
leaf_362	B	2022-07-25	Test	?
leaf_363	C	2022-07-25	Train	C
leaf_364	B	2022-07-25	Test	?
leaf_365	C	2022-07-25	Train	C
leaf_366	C	2022-07-24	Train	C
leaf_367	B	2022-07-24	Train	B
leaf_368	C	2022-07-24	Test	?
leaf_369	B	2022-07-24	Test	?
leaf_370	A	2022-07-24	Train	A
leaf_371	A	2022-07-24	Train	A
leaf_372	A	2022-07-24	Train	A
leaf_373	B	2022-07-24	Train	B
leaf_374	B	2022-07-24	Train	B
leaf_375	B	2022-07-24	Train	B
leaf_376	A	2022-07-24	Train	A
leaf_377	B	2022-07-24	Test	?
leaf_378	A	2022-07-24	Train	A
leaf_379	C	2022-07-24	Train	C
leaf_380	A	2022-07-24	Train	A
leaf_381	B	2022-07-24	Train	B
leaf_382	B	2022-07-24	Train	B
leaf_383	C	2022-07-24	Train	C
leaf_384	B	2022-07-24	Train	B
leaf_385	B	2022-07-23	Train	B
leaf_386	B	2022-07-23	Train	B
leaf_387	B	2022-07-23	Train	B
leaf_388	B	2022-07-23	Train	B
leaf_389	C	2022-07-23	Train	C
leaf_390	B	2022-07-23	Train	B
leaf_391	B	2022-07-23	Test	?
leaf_392	B	2022-07-23	Train	B
leaf_393	C	2022-07-23	Train	C
leaf_394	B	2022-07-23	Test	?
leaf_395	B	2022-07-23	Train	B
leaf_396	B	2022-07-23	Train	B
leaf_397	C	2022-07-23	Train	C
leaf_398	B	2022-07-23	Train	B
leaf_399	C	2022-07-23	Train	C
leaf_400	A	2022-07-23	Train	A
leaf_401	B	2022-07-23	Train	B
leaf_402	C	2022-07-23	Test	?
leaf_403	C	2022-07-23	Train	C
leaf_404	C	2022-07-23	Train	C
leaf_405	A	2022-07-23	Train	A
leaf_406	A	2022-07-23	Train	A
leaf_407	B	2022-07-23	Test	?
leaf_408	A	2022-07-23	Test	?
leaf_409	A	2022-07-22	Test	?
leaf_410	A	2022-07-22	Test	?
leaf_411	B	2022-07-22	Train	B
leaf_412	C	2022-07-22	Train	C
leaf_413	C	2022-07-22	Train	C
leaf_414	B	2022-07-22	Train	B
leaf_415	B	2022-07-22	Train	B
leaf_416	C	2022-07-22	Train	C
leaf_417	A	2022-07-22	Train	A
leaf_418	A	2022-07-22	Train	A
leaf_419	C	2022-07-22	Train	C
leaf_420	A	2022-07-22	Test	?
leaf_421	B	2022-07-22	Test	?
leaf_422	C	2022-07-22	Train	C
leaf_423	C	2022-07-22	Train	C
leaf_424	B	2022-07-22	Test	?
leaf_425	B	2022-07-22	Test	?
leaf_426	B	2022-07-22	Train	B
leaf_427	A	2022-07-22	Train	A
leaf_428	A	2022-07-22	Train	A
leaf_429	B	2022-07-22	Test	?
leaf_430	A	2022-07-21	Test	?
leaf_431	B	2022-07-21	Train	B
leaf_432	B	2022-07-21	Train	B
leaf_433	B	2022-07-21	Train	B
leaf_434	A	2022-07-21	Train	A
leaf_435	B	2022-07-21	Train	B
leaf_436	A	2022-07-21	Train	A
leaf_437	A	2022-07-21	Train	A
leaf_438	C	2022-07-21	Train	C
leaf_439	B	2022-07-21	Train	B
leaf_440	A	2022-07-21	Train	A
leaf_441	B	2022-07-21	Train	B
leaf_442	C	2022-07-21	Train	C
leaf_443	C	2022-07-21	Train	C
leaf_444	C	2022-07-21	Train	C
leaf_445	A	2022-07-21	Train	A
leaf_446	B	2022-07-21	Test	?
leaf_447	B	2022-07-21	Test	?
leaf_448	B	2022-07-21	Train	B
leaf_449	C	2022-07-21	Train	C
leaf_450	A	2022-07-21	Train	A
leaf_451	C	2022-07-20	Train	C
leaf_452	B	2022-07-20	Train	B
leaf_453	B	2022-07-20	Train	B
leaf_454	A	2022-07-20	Train	A
leaf_455	B	2022-07-20	Train	B
leaf_456	A	2022-07-20	Train	A
leaf_457	B	2022-07-20	Test	?
leaf_458	C	2022-07-20	Train	C
leaf_459	A	2022-07-20	Train	A
leaf_460	B	2022-07-20	Train	B
leaf_461	B	2022-07-20	Train	B
leaf_462	A	2022-07-20	Test	?
leaf_463	C	2022-07-20	Train	C
leaf_464	B	2022-07-20	Train	B
leaf_465	B	2022-07-20	Train	B
leaf_466	A	2022-07-20	Test	?
leaf_467	A	2022-07-20	Train	A
leaf_468	B	2022-07-20	Train	B
leaf_469	B	2022-07-19	Train	B
leaf_470	B	2022-07-19	Train	B
leaf_471	C	2022-07-19	Train	C
leaf_472	B	2022-07-19	Train	B
leaf_473	B	2022-07-19	Test	?
leaf_474	B	2022-07-19	Test	?
leaf_475	C	2022-07-19	Train	C
leaf_476	B	2022-07-19	Train	B
leaf_477	A	2022-07-19	Train	A
leaf_478	A	2022-07-19	Train	A
leaf_479	A	2022-07-19	Train	A
leaf_480	B	2022-07-19	Test	?
leaf_481	C	2022-07-19	Train	C
leaf_482	A	2022-07-19	Test	?
leaf_483	B	2022-07-19	Train	B
leaf_484	B	2022-07-19	Train	B
leaf_485	B	2022-07-19	Train	B
leaf_486	B	2022-07-19	Train	B
leaf_487	C	2022-07-19	Train	C
leaf_488	C	2022-07-19	Test	?
leaf_489	C	2022-07-19	Train	C
leaf_490	B	2022-07-19	Train	B
leaf_491	A	2022-07-19	Train	A
leaf_492	C	2022-07-19	Train	C
leaf_493	B	2022-07-19	Test	?
leaf_494	A	2022-07-19	Train	A
leaf_495	C	2022-07-18	Train	C
leaf_496	C	2022-07-18	Train	C
leaf_497	A	2022-07-18	Test	?
leaf_498	A	2022-07-18	Test	?
leaf_499	B	2022-07-18	Train	B
leaf_500	C	2022-07-18	Train	C
leaf_501	A	2022-07-18	Test	?
leaf_502	A	2022-07-18	Train	A
leaf_503	B	2022-07-18	Train	B
leaf_504	A	2022-07-18	Test	?
leaf_505	C	2022-07-18	Train	C
leaf_506	B	2022-07-18	Train	B
leaf_507	A	2022-07-18	Train	A
leaf_508	A	2022-07-18	Train	A
leaf_509	B	2022-07-18	Train	B
leaf_510	C	2022-07-18	Train	C
leaf_511	B	2022-07-18	Test	?
leaf_512	B	2022-07-18	Train	B
leaf_513	C	2022-07-18	Test	?
leaf_514	B	2022-07-18	Train	B
leaf_515	C	2022-07-18	Train	C
leaf_516	C	2022-07-18	Train	C
leaf_517	B	2022-07-18	Train	B
leaf_518	A	2022-07-17	Train	A
leaf_519	C	2022-07-17	Test	?
leaf_520	C	2022-07-17	Train	C
leaf_521	B	2022-07-17	Train	B
leaf_522	A	2022-07-17	Test	?
leaf_523	A	2022-07-17	Train	A
leaf_524	C	2022-07-17	Train	C
leaf_525	B	2022-07-17	Train	B
leaf_526	B	2022-07-17	Train	B
leaf_527	A	2022-07-17	Test	?
leaf_528	B	2022-07-17	Train	B
leaf_529	B	2022-07-17	Train	B
leaf_530	B	2022-07-17	Train	B
leaf_531	C	2022-07-17	Test	?
leaf_532	B	2022-07-17	Train	B
leaf_533	B	2022-07-17	Train	B
leaf_534	B	2022-07-17	Train	B
leaf_535	B	2022-07-17	Train	B
leaf_536	C	2022-07-17	Test	?
leaf_537	A	2022-07-17	Train	A
leaf_538	A	2022-07-17	Train	A
leaf_539	C	2022-07-17	Train	C
leaf_540	A	2022-07-17	Train	A
leaf_541	C	2022-07-17	Train	C
leaf_542	A	2022-07-17	Train	A
leaf_543	A	2022-07-17	Test	?
leaf_544	C	2022-07-16	Train	C
leaf_545	B	2022-07-16	Train	B
leaf_546	C	2022-07-16	Train	C
leaf_547	B	2022-07-16	Train	B
leaf_548	B	2022-07-16	Train	B
leaf_549	A	2022-07-16	Train	A
leaf_550	C	2022-07-16	Train	C
leaf_551	A	2022-07-16	Train	A
leaf_552	B	2022-07-16	Train	B
leaf_553	C	2022-07-16	Train	C
leaf_554	A	2022-07-16	Test	?
leaf_555	C	2022-07-16	Test	?
leaf_556	A	2022-07-16	Train	A
leaf_557	B	2022-07-16	Train	B
leaf_558	A	2022-07-16	Train	A
leaf_559	C	2022-07-16	Test	?
leaf_560	A	2022-07-16	Train	A
leaf_561	B	2022-07-16	Train	B
leaf_562	A	2022-07-16	Train	A
leaf_563	C	2022-07-16	Test	?
leaf_564	B	2022-07-16	Train	B
leaf_565	C	2022-07-15	Test	?
leaf_566	B	2022-07-15	Train	B
leaf_567	B	2022-07-15	Train	B
leaf_568	A	2022-07-15	Train	A
leaf_569	B	2022-07-15	Train	B
leaf_570	B	2022-07-15	Train	B
leaf_571	C	2022-07-15	Train	C
leaf_572	B	2022-07-15	Train	B
leaf_573	B	2022-07-15	Train	B
leaf_574	C	2022-07-15	Train	C
leaf_575	A	2022-07-15	Train	A
leaf_576	A	2022-07-15	Train	A
leaf_577	B	2022-07-15	Train	B
leaf_578	B	2022-07-15	Train	B
leaf_579	B	2022-07-15	Train	B
leaf_580	B	2022-07-15	Test	?
leaf_581	C	2022-07-15	Train	C
leaf_582	A	2022-07-15	Train	A
leaf_583	C	2022-07-15	Train	C
leaf_584	B	2022-07-15	Train	B
leaf_585	C	2022-07-15	Train	C
leaf_586	B	2022-07-15	Train	B
leaf_587	C	2022-07-15	Train	C
leaf_588	C	2022-07-15	Test	?
leaf_589	B	2022-07-15	Test	?
leaf_590	B	2022-07-15	Train	B
leaf_591	B	2022-07-15	Test	?
leaf_592	A	2022-07-15	Train	A
leaf_593	B	2022-07-15	Train	B
leaf_594	B	2022-07-15	Train	B
leaf_595	B	2022-07-15	Train	B
leaf_596	A	2022-07-15	Train	A
leaf_597	B	2022-07-15	Train	B
leaf_598	B	2022-07-14	Train	B
leaf_599	B	2022-07-14	Train	B
leaf_600	B	2022-07-14	Train	B
leaf_601	C	2022-07-14	Train	C
leaf_602	B	2022-07-14	Train	B
leaf_603	B	2022-07-14	Test	?
leaf_604	A	2022-07-14	Train	A
leaf_605	B	2022-07-14	Train	B
leaf_606	B	2022-07-14	Train	B
leaf_607	B	2022-07-14	Test	?
leaf_608	B	2022-07-14	Train	B
leaf_609	C	2022-07-14	Train	C
leaf_610	B	2022-07-14	Train	B
leaf_611	B	2022-07-14	Train	B
leaf_612	B	2022-07-14	Train	B
leaf_613	A	2022-07-14	Train	A
leaf_614	C	2022-07-14	Train	C
leaf_615	C	2022-07-14	Train	C
leaf_616	C	2022-07-14	Train	C
leaf_617	B	2022-07-14	Train	B
leaf_618	C	2022-07-14	Train	C
leaf_619	C	2022-07-14	Train	C
leaf_620	C	2022-07-14	Train	C
leaf_621	B	2022-07-14	Test	?
leaf_622	B	2022-07-14	Test	?
leaf_623	C	2022-07-14	Train	C
leaf_624	B	2022-07-14	Train	B
leaf_625	B	2022-07-13	Train	B
leaf_626	B	2022-07-13	Train	B
leaf_627	C	2022-07-13	Train	C
leaf_628	C	2022-07-13	Train	C
leaf_629	B	2022-07-13	Train	B
leaf_630	B	2022-07-13	Train	B
leaf_631	B	2022-07-13	Train	B
leaf_632	A	2022-07-13	Train	A
leaf_633	B	2022-07-13	Train	B
leaf_634	B	2022-07-13	Test	?
leaf_635	B	2022-07-13	Train	B
leaf_636	B	2022-07-13	Train	B
leaf_637	B	2022-07-13	Test	?
leaf_638	B	2022-07-13	Train	B
leaf_639	A	2022-07-13	Train	A
leaf_640	A	2022-07-13	Train	A
leaf_641	A	2022-07-13	Train	A
leaf_642	C	2022-07-13	Train	C
leaf_643	C	2022-07-13	Train	C
leaf_644	C	2022-07-13	Train	C
leaf_645	C	2022-07-13	Train	C
leaf_646	C	2022-07-13	Train	C
leaf_647	B	2022-07-13	Train	B
leaf_648	A	2022-07-13	Train	A
leaf_649	C	2022-07-13	Train	C
leaf_650	A	2022-07-13	Train	A
leaf_651	B	2022-07-13	Test	?
leaf_652	B	2022-07-13	Train	B
leaf_653	A	2022-07-13	Train	A
leaf_654	A	2022-07-13	Train	A
leaf_655	A	2022-07-13	Train	A
leaf_656	B	2022-07-13	Test	?
leaf_657	C	2022-07-13	Train	C
leaf_658	A	2022-07-13	Train	A
leaf_659	B	2022-07-13	Test	?
leaf_660	A	2022-07-13	Train	A
leaf_661	A	2022-07-12	Train	A
leaf_662	C	2022-07-12	Train	C
leaf_663	A	2022-07-12	Test	?
leaf_664	A	2022-07-12	Train	A
leaf_665	B	2022-07-12	Train	B
leaf_666	A	2022-07-12	Train	A
leaf_667	A	2022-07-12	Train	A
leaf_668	A	2022-07-12	Train	A
leaf_669	B	2022-07-12	Train	B
leaf_670	A	2022-07-12	Test	?
leaf_671	C	2022-07-12	Train	C
leaf_672	A	2022-07-12	Test	?
leaf_673	B	2022-07-12	Train	B
leaf_674	A	2022-07-12	Train	A
leaf_675	B	2022-07-12	Train	B
leaf_676	C	2022-07-12	Train	C
leaf_677	B	2022-07-12	Train	B
leaf_678	B	2022-07-12	Train	B
leaf_679	B	2022-07-12	Test	?
leaf_680	A	2022-07-12	Test	?
leaf_681	C	2022-07-12	Train	C
leaf_682	B	2022-07-12	Train	B
leaf_683	B	2022-07-12	Train	B
leaf_684	A	2022-07-12	Train	A
leaf_685	B	2022-07-12	Test	?
leaf_686	B	2022-07-12	Train	B
leaf_687	A	2022-07-12	Test	?
leaf_688	C	2022-07-12	Train	C
leaf_689	C	2022-07-12	Train	C
leaf_690	C	2022-07-12	Train	C
leaf_691	C	2022-07-12	Train	C
leaf_692	C	2022-07-11	Train	C
leaf_693	C	2022-07-11	Train	C
leaf_694	A	2022-07-11	Train	A
leaf_695	B	2022-07-11	Train	B
leaf_696	A	2022-07-11	Train	A
leaf_697	C	2022-07-11	Train	C
